,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Mauritius,43.0,0.0,0.0,,0.0,3.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,4.0,,0.0,4.0,0.0,0.0,5.0,,,0.0,,5.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0
Morocco,1841.0,0.0,,13.0,,164.0,47.0,35.0,6.0,11.0,200.0,21.0,,,67.0,9.0,0.0,5.0,5.0,,0.0,47.0,226.0,22.0,42.0,,15.0,,0.0,11.0,4.0,109.0,,242.0,33.0,,41.0,10.0,6.0,74.0,,17.0,,6.0,74.0,,,4.0,,183.0,33.0,,19.0,0.0,21
Mozambique,40.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0
Namibia,13.0,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
Niger,46.0,,0.0,,0.0,9.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14
Nigeria,6470.0,28.0,7.0,38.0,7.0,610.0,38.0,50.0,27.0,54.0,180.0,274.0,7.0,0.0,435.0,39.0,9.0,27.0,16.0,41.0,,822.0,159.0,178.0,161.0,11.0,99.0,3.0,14.0,19.0,3.0,507.0,6.0,730.0,112.0,0.0,134.0,40.0,10.0,130.0,60.0,29.0,0.0,61.0,985.0,0.0,6.0,8.0,,114.0,52.0,0.0,27.0,0.0,100
Rwanda,116.0,,0.0,,,8.0,,,0.0,0.0,3.0,,0.0,,0.0,4.0,5.0,0.0,5.0,0.0,,4.0,3.0,5.0,,0.0,3.0,0.0,,0.0,0.0,,0.0,3.0,16.0,0.0,16.0,0.0,,,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,7.0,,0.0,,0.0,5
Sao Tome & Principe,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Senegal,371.0,0.0,0.0,,0.0,24.0,6.0,5.0,0.0,3.0,12.0,8.0,,0.0,12.0,7.0,0.0,,,,0.0,34.0,17.0,14.0,4.0,0.0,8.0,0.0,,0.0,,20.0,,79.0,6.0,0.0,36.0,0.0,0.0,3.0,20.0,0.0,0.0,,12.0,0.0,,0.0,0.0,14.0,7.0,0.0,,,3
Seychelles,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1
Sierra Leone,945.0,0.0,0.0,11.0,,75.0,5.0,,,12.0,16.0,22.0,3.0,0.0,9.0,7.0,3.0,,4.0,,0.0,229.0,29.0,31.0,27.0,0.0,5.0,0.0,,0.0,,76.0,,67.0,25.0,0.0,35.0,,,51.0,,5.0,0.0,6.0,50.0,0.0,,0.0,0.0,99.0,4.0,0.0,7.0,0.0,17
Somalia,2714.0,,,32.0,0.0,177.0,26.0,10.0,0.0,,5.0,111.0,0.0,0.0,26.0,6.0,10.0,6.0,19.0,,50.0,37.0,91.0,89.0,977.0,0.0,85.0,0.0,,,0.0,,0.0,68.0,23.0,12.0,226.0,,49.0,7.0,0.0,,0.0,58.0,70.0,0.0,0.0,41.0,,107.0,237.0,0.0,11.0,,33
South Africa,1453.0,3.0,,38.0,3.0,378.0,44.0,42.0,7.0,6.0,147.0,64.0,3.0,,32.0,5.0,6.0,6.0,10.0,8.0,,23.0,43.0,23.0,19.0,5.0,22.0,0.0,4.0,14.0,3.0,33.0,8.0,74.0,25.0,0.0,38.0,5.0,17.0,39.0,6.0,14.0,0.0,9.0,108.0,0.0,0.0,26.0,,17.0,51.0,,3.0,,15
St. Helena,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sudan,1104.0,10.0,0.0,10.0,0.0,76.0,35.0,12.0,4.0,3.0,19.0,20.0,,,42.0,4.0,26.0,,3.0,,9.0,46.0,14.0,11.0,86.0,3.0,22.0,0.0,64.0,,3.0,21.0,0.0,77.0,67.0,10.0,27.0,0.0,3.0,34.0,,3.0,10.0,17.0,85.0,0.0,0.0,25.0,,115.0,30.0,0.0,16.0,0.0,33
Swaziland,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tanzania,348.0,0.0,0.0,3.0,0.0,56.0,4.0,,4.0,,33.0,11.0,0.0,4.0,21.0,,0.0,3.0,,0.0,0.0,17.0,16.0,7.0,14.0,0.0,6.0,0.0,,,,28.0,,23.0,3.0,0.0,4.0,0.0,0.0,21.0,0.0,9.0,0.0,,27.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,4
Togo,204.0,0.0,,3.0,0.0,16.0,5.0,3.0,,3.0,10.0,5.0,,0.0,11.0,,0.0,,,,,24.0,3.0,,17.0,0.0,0.0,0.0,7.0,0.0,,9.0,0.0,34.0,6.0,0.0,7.0,,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,,0.0,0
Tunisia,192.0,0.0,0.0,,0.0,31.0,,5.0,0.0,4.0,14.0,0.0,0.0,,8.0,,0.0,0.0,0.0,0.0,0.0,7.0,7.0,9.0,4.0,0.0,5.0,0.0,0.0,,,9.0,,17.0,4.0,0.0,4.0,0.0,0.0,10.0,0.0,,0.0,,10.0,0.0,,0.0,0.0,23.0,3.0,0.0,,0.0,3
Uganda,327.0,,0.0,5.0,0.0,50.0,9.0,6.0,,,17.0,8.0,0.0,0.0,19.0,,,,0.0,0.0,0.0,19.0,30.0,10.0,9.0,0.0,6.0,0.0,,,0.0,26.0,,15.0,7.0,0.0,9.0,,,10.0,0.0,5.0,0.0,3.0,22.0,0.0,0.0,,0.0,12.0,8.0,0.0,0.0,0.0,4
Zambia,180.0,0.0,0.0,,0.0,31.0,4.0,0.0,0.0,,21.0,6.0,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,,7.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,,,15.0,0.0,9.0,5.0,0.0,,,,6.0,0.0,0.0,0.0,,26.0,0.0,,0.0,0.0,8.0,,0.0,,0.0,5
Zimbabwe,225.0,,0.0,4.0,0.0,37.0,3.0,,0.0,0.0,15.0,14.0,,,8.0,,,,,,0.0,7.0,14.0,6.0,,0.0,5.0,0.0,4.0,,0.0,10.0,0.0,13.0,10.0,0.0,9.0,,,6.0,,,,,21.0,0.0,0.0,,0.0,4.0,3.0,0.0,4.0,,4
Oceania,3551.0,4.0,34.0,42.0,5.0,1868.0,83.0,38.0,5.0,6.0,94.0,32.0,77.0,8.0,40.0,13.0,,19.0,10.0,6.0,8.0,27.0,60.0,41.0,31.0,0.0,27.0,14.0,4.0,27.0,3.0,48.0,20.0,158.0,32.0,,27.0,10.0,64.0,24.0,4.0,5.0,,6.0,112.0,0.0,5.0,102.0,3.0,45.0,198.0,,19.0,3.0,32
American Samoa,137.0,0.0,12.0,,0.0,59.0,,0.0,0.0,0.0,,,18.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,16.0,0.0,0.0,0.0,1
Australia,1295.0,,8.0,29.0,0.0,428.0,51.0,28.0,5.0,,55.0,20.0,12.0,,27.0,8.0,,8.0,,,,17.0,43.0,28.0,20.0,0.0,12.0,8.0,,12.0,,34.0,12.0,129.0,19.0,0.0,18.0,5.0,17.0,16.0,,,,,55.0,0.0,,25.0,,34.0,36.0,,13.0,,13
Fiji,1267.0,0.0,0.0,3.0,,1055.0,4.0,,0.0,0.0,,5.0,,,,0.0,0.0,,0.0,0.0,0.0,,3.0,5.0,,0.0,3.0,,0.0,,0.0,3.0,,,,0.0,4.0,,26.0,,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,102.0,,,0.0,6
French Polynesia,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2
Kiribati,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marshall Islands,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1
"Micronesia, Federated States",14.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,1
Nauru,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
New Caledonia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
New Zealand,420.0,,4.0,3.0,,124.0,20.0,,0.0,,27.0,3.0,9.0,,9.0,,,5.0,,,,,8.0,5.0,4.0,0.0,3.0,,0.0,7.0,0.0,11.0,5.0,,6.0,0.0,5.0,,11.0,,,,0.0,3.0,25.0,0.0,,17.0,,,18.0,0.0,,0.0,2
Palau,19.0,,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3
Papua New Guinea,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
Samoa,157.0,0.0,7.0,4.0,,77.0,,0.0,0.0,0.0,0.0,,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,,,0.0,0.0,16.0,0.0,0.0,12.0,0.0,0.0,,2
Solomon Islands,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0
Tonga,207.0,0.0,3.0,,0.0,109.0,3.0,0.0,0.0,0.0,4.0,0.0,14.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,37.0,0.0,0.0,8.0,0.0,0.0,0.0,1
Vanuatu,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
North America,151047.0,119.0,149.0,2955.0,315.0,40831.0,1668.0,1342.0,219.0,230.0,23624.0,1365.0,234.0,322.0,6620.0,590.0,373.0,642.0,235.0,388.0,117.0,2383.0,3871.0,1297.0,632.0,123.0,547.0,76.0,633.0,1615.0,187.0,6103.0,764.0,20277.0,1161.0,57.0,691.0,472.0,715.0,1331.0,700.0,322.0,45.0,421.0,15327.0,0.0,682.0,866.0,62.0,1917.0,1703.0,38.0,592.0,50.0,3049
Canada,7682.0,,22.0,223.0,25.0,1318.0,176.0,157.0,15.0,,880.0,118.0,23.0,49.0,210.0,66.0,25.0,36.0,28.0,31.0,77.0,,234.0,559.0,150.0,9.0,85.0,48.0,17.0,,89.0,,32.0,462.0,142.0,21.0,204.0,39.0,117.0,130.0,26.0,65.0,12.0,73.0,,0.0,4.0,113.0,53.0,129.0,411.0,8.0,57.0,10.0,114
Greenland,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mexico,63840.0,45.0,59.0,2453.0,214.0,29541.0,1256.0,74.0,56.0,16.0,1039.0,444.0,58.0,246.0,5207.0,379.0,284.0,486.0,60.0,68.0,,125.0,93.0,400.0,287.0,49.0,256.0,14.0,494.0,1063.0,19.0,289.0,655.0,719.0,395.0,12.0,173.0,343.0,493.0,184.0,19.0,92.0,20.0,177.0,11970.0,0.0,34.0,581.0,,250.0,976.0,9.0,402.0,32.0,1221
United States,36.0,,0.0,,,,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0
Caribbean,54811.0,28.0,45.0,,,968.0,82.0,989.0,129.0,89.0,18330.0,598.0,96.0,10.0,455.0,79.0,14.0,42.0,118.0,76.0,23.0,1192.0,3097.0,252.0,83.0,31.0,113.0,6.0,27.0,165.0,63.0,4723.0,33.0,17020.0,344.0,14.0,214.0,37.0,45.0,879.0,520.0,95.0,8.0,90.0,748.0,0.0,597.0,46.0,5.0,552.0,,12.0,79.0,3.0,1317
Anguilla,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Antigua-Barbuda,357.0,0.0,0.0,,,7.0,0.0,8.0,,,51.0,6.0,3.0,0.0,,,,,,3.0,0.0,8.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,29.0,,155.0,4.0,0.0,,,0.0,6.0,0.0,,0.0,,10.0,0.0,26.0,,0.0,7.0,,0.0,0.0,0.0,7
Aruba,30.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Bahamas, The",378.0,3.0,0.0,,,13.0,,0.0,0.0,,220.0,15.0,3.0,,,3.0,,3.0,3.0,,,10.0,,,,,,0.0,0.0,0.0,0.0,5.0,0.0,30.0,10.0,0.0,0.0,,0.0,6.0,0.0,,0.0,3.0,8.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,,0.0,9
Barbados,650.0,0.0,,6.0,,15.0,,16.0,,,64.0,12.0,3.0,0.0,,3.0,0.0,0.0,,,0.0,17.0,54.0,4.0,0.0,,,0.0,0.0,3.0,0.0,46.0,0.0,312.0,,0.0,7.0,,0.0,15.0,,5.0,0.0,,11.0,0.0,,0.0,0.0,11.0,4.0,0.0,,0.0,13
Bermuda,47.0,0.0,0.0,0.0,0.0,4.0,,0.0,,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,3.0,,0.0,,0.0,0.0,,3.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1
British Virgin Islands,41.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5
