,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Ireland,1371.0,3.0,4.0,27.0,,221.0,13.0,35.0,3.0,7.0,70.0,16.0,0.0,5.0,4.0,61.0,11.0,4.0,4.0,8.0,6.0,6.0,22.0,148.0,11.0,14.0,,8.0,,,,9.0,61.0,3.0,297.0,27.0,3.0,13.0,3.0,11.0,49.0,0.0,6.0,6.0,0.0,7.0,66.0,0.0,0.0,5.0,3.0,28.0,41.0,,12.0,,0
Israel,3826.0,9.0,3.0,29.0,,882.0,30.0,21.0,6.0,8.0,395.0,104.0,0.0,6.0,,130.0,12.0,12.0,12.0,9.0,29.0,0.0,89.0,130.0,59.0,16.0,6.0,35.0,,,64.0,,255.0,8.0,789.0,65.0,,62.0,3.0,18.0,101.0,4.0,,21.0,3.0,38.0,171.0,0.0,7.0,10.0,,47.0,82.0,7.0,28.0,0.0,0
Italy,2443.0,7.0,,25.0,3.0,439.0,31.0,46.0,5.0,26.0,343.0,39.0,0.0,18.0,5.0,84.0,23.0,,5.0,8.0,8.0,3.0,51.0,104.0,39.0,14.0,5.0,20.0,,,21.0,7.0,124.0,6.0,455.0,33.0,0.0,37.0,6.0,13.0,93.0,7.0,7.0,9.0,,4.0,127.0,,,11.0,6.0,64.0,38.0,,12.0,0.0,0
Jamaica,19662.0,86.0,,66.0,10.0,267.0,72.0,1081.0,80.0,38.0,5605.0,908.0,,11.0,,165.0,44.0,6.0,13.0,17.0,60.0,51.0,634.0,587.0,107.0,52.0,61.0,64.0,,8.0,28.0,37.0,1214.0,4.0,6503.0,178.0,,109.0,12.0,12.0,605.0,0.0,27.0,127.0,,40.0,251.0,,12.0,4.0,25.0,256.0,42.0,18.0,49.0,6.0,0
Japan,6161.0,31.0,12.0,62.0,15.0,1938.0,66.0,33.0,6.0,18.0,210.0,113.0,37.0,493.0,13.0,160.0,63.0,13.0,21.0,40.0,30.0,4.0,91.0,187.0,123.0,39.0,16.0,45.0,9.0,19.0,61.0,13.0,197.0,19.0,614.0,94.0,7.0,121.0,34.0,95.0,120.0,,7.0,25.0,13.0,42.0,267.0,,20.0,44.0,6.0,114.0,280.0,10.0,40.0,6.0,0
Jordan,3876.0,47.0,,60.0,8.0,553.0,38.0,14.0,5.0,9.0,247.0,44.0,0.0,,6.0,419.0,51.0,6.0,28.0,49.0,62.0,4.0,46.0,70.0,183.0,24.0,20.0,61.0,0.0,11.0,12.0,5.0,296.0,14.0,269.0,103.0,5.0,238.0,21.0,32.0,72.0,17.0,,19.0,,80.0,358.0,0.0,9.0,11.0,3.0,139.0,40.0,8.0,55.0,0.0,0
Kazakhstan,1235.0,4.0,5.0,18.0,,187.0,26.0,15.0,5.0,6.0,83.0,24.0,0.0,3.0,3.0,41.0,7.0,0.0,6.0,6.0,8.0,3.0,35.0,45.0,7.0,17.0,7.0,9.0,,,13.0,12.0,58.0,5.0,205.0,19.0,0.0,36.0,11.0,13.0,38.0,0.0,4.0,7.0,,12.0,69.0,0.0,0.0,4.0,,57.0,83.0,,8.0,0.0,0
Kenya,7762.0,144.0,20.0,156.0,11.0,518.0,125.0,41.0,108.0,8.0,113.0,447.0,0.0,8.0,17.0,93.0,119.0,94.0,197.0,52.0,28.0,86.0,342.0,529.0,81.0,777.0,7.0,243.0,,68.0,49.0,36.0,334.0,10.0,204.0,231.0,25.0,238.0,57.0,60.0,200.0,0.0,9.0,27.0,31.0,128.0,880.0,,0.0,90.0,37.0,144.0,470.0,6.0,53.0,7.0,0
Kiribati,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Korea, North",36.0,0.0,0.0,,0.0,11.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,0
"Korea, South",22824.0,389.0,67.0,197.0,41.0,7578.0,216.0,188.0,76.0,23.0,356.0,1521.0,65.0,233.0,19.0,839.0,152.0,58.0,77.0,90.0,67.0,13.0,764.0,376.0,335.0,127.0,17.0,153.0,6.0,33.0,158.0,24.0,1642.0,35.0,1864.0,325.0,12.0,250.0,67.0,171.0,481.0,0.0,34.0,53.0,6.0,193.0,1241.0,7.0,22.0,93.0,6.0,1109.0,843.0,18.0,88.0,6.0,0
Kosovo,670.0,,,5.0,0.0,12.0,7.0,32.0,0.0,4.0,21.0,17.0,0.0,0.0,3.0,38.0,,,0.0,9.0,,0.0,7.0,16.0,22.0,6.0,,10.0,,0.0,6.0,,35.0,,280.0,10.0,0.0,5.0,,,21.0,0.0,0.0,,,,44.0,,0.0,0.0,,12.0,7.0,0.0,17.0,0.0,0
Kuwait,973.0,19.0,0.0,40.0,,150.0,11.0,11.0,,,49.0,25.0,0.0,0.0,5.0,66.0,10.0,6.0,,13.0,15.0,5.0,20.0,34.0,37.0,7.0,6.0,6.0,,6.0,5.0,5.0,46.0,3.0,64.0,25.0,0.0,50.0,8.0,9.0,19.0,3.0,0.0,7.0,,18.0,98.0,0.0,0.0,7.0,0.0,20.0,19.0,,14.0,0.0,0
Kyrgyzstan,542.0,,4.0,5.0,,69.0,4.0,3.0,,5.0,31.0,10.0,0.0,,0.0,20.0,3.0,,,6.0,3.0,0.0,10.0,29.0,,29.0,,7.0,,,,,26.0,,106.0,6.0,0.0,23.0,,4.0,25.0,0.0,0.0,4.0,0.0,,12.0,5.0,0.0,,0.0,22.0,45.0,0.0,,0.0,0
Laos,956.0,,17.0,5.0,18.0,189.0,3.0,10.0,0.0,0.0,29.0,15.0,0.0,14.0,7.0,17.0,3.0,18.0,24.0,0.0,5.0,,7.0,18.0,12.0,179.0,0.0,5.0,,5.0,5.0,4.0,4.0,5.0,15.0,32.0,0.0,11.0,9.0,14.0,13.0,0.0,16.0,,3.0,14.0,58.0,0.0,0.0,9.0,3.0,18.0,28.0,0.0,88.0,0.0,0
Latvia,426.0,0.0,,6.0,0.0,52.0,8.0,8.0,,0.0,42.0,28.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,3.0,,4.0,13.0,21.0,5.0,6.0,,7.0,0.0,,,,22.0,,62.0,13.0,0.0,5.0,3.0,3.0,19.0,0.0,,6.0,0.0,,11.0,0.0,0.0,3.0,0.0,8.0,13.0,,9.0,4.0,0
Lebanon,3295.0,20.0,0.0,65.0,6.0,559.0,21.0,33.0,7.0,5.0,181.0,61.0,0.0,0.0,8.0,102.0,14.0,10.0,21.0,40.0,13.0,6.0,50.0,219.0,685.0,40.0,7.0,17.0,,4.0,31.0,10.0,136.0,5.0,164.0,41.0,,105.0,23.0,12.0,75.0,6.0,15.0,20.0,0.0,25.0,280.0,,0.0,12.0,,81.0,36.0,6.0,12.0,,0
Lesotho,25.0,0.0,0.0,,0.0,3.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,,,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
Liberia,4151.0,16.0,,71.0,,98.0,21.0,49.0,45.0,6.0,54.0,203.0,0.0,,3.0,72.0,44.0,86.0,5.0,22.0,4.0,,302.0,156.0,56.0,579.0,0.0,40.0,,9.0,11.0,7.0,340.0,,224.0,154.0,24.0,58.0,8.0,24.0,755.0,0.0,143.0,15.0,25.0,36.0,194.0,,0.0,24.0,0.0,114.0,20.0,,23.0,0.0,0
Libya,357.0,3.0,0.0,5.0,0.0,32.0,31.0,,5.0,,26.0,13.0,0.0,0.0,0.0,10.0,5.0,,0.0,3.0,8.0,,6.0,8.0,14.0,7.0,0.0,9.0,0.0,,,,17.0,0.0,14.0,4.0,3.0,32.0,9.0,12.0,12.0,0.0,0.0,,0.0,,25.0,0.0,0.0,0.0,0.0,14.0,11.0,,,0.0,0
Liechtenstein,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lithuania,936.0,3.0,4.0,,0.0,59.0,11.0,34.0,,7.0,77.0,16.0,0.0,0.0,0.0,305.0,4.0,,6.0,,,3.0,22.0,48.0,7.0,12.0,,,,,13.0,3.0,46.0,,86.0,18.0,0.0,22.0,,,43.0,,3.0,7.0,0.0,,12.0,0.0,0.0,3.0,,15.0,10.0,,14.0,,0
Luxembourg,24.0,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0
Macau,130.0,0.0,0.0,,0.0,75.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,,,,0.0,0.0,,0.0,0.0,,3.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,15.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,9.0,0.0,0.0,,0.0,,4.0,0.0,0.0,0.0,0
Macedonia,1078.0,,29.0,22.0,6.0,26.0,4.0,57.0,,0.0,69.0,4.0,0.0,0.0,0.0,154.0,26.0,12.0,0.0,4.0,0.0,3.0,4.0,9.0,56.0,,4.0,17.0,0.0,,10.0,4.0,231.0,,179.0,3.0,0.0,26.0,,,8.0,0.0,0.0,,0.0,,36.0,0.0,0.0,3.0,,14.0,11.0,0.0,32.0,0.0,0
Madagascar,83.0,,0.0,,0.0,7.0,,0.0,0.0,,6.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,10.0,,0.0,6.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,16.0,,0.0,,,0
Malawi,123.0,,0.0,,0.0,8.0,,,0.0,,,7.0,0.0,0.0,0.0,,17.0,0.0,,0.0,0.0,0.0,13.0,3.0,7.0,0.0,,,0.0,,0.0,,,0.0,,6.0,0.0,5.0,,,6.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,5.0,3.0,,,,0
Malaysia,2273.0,12.0,,40.0,9.0,379.0,34.0,23.0,,4.0,67.0,102.0,,9.0,7.0,78.0,102.0,31.0,32.0,19.0,11.0,3.0,65.0,49.0,56.0,23.0,3.0,27.0,,10.0,11.0,6.0,82.0,5.0,313.0,39.0,,40.0,36.0,16.0,48.0,0.0,9.0,14.0,0.0,22.0,278.0,0.0,,10.0,3.0,45.0,73.0,4.0,15.0,,0
Maldives,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mali,629.0,0.0,0.0,6.0,0.0,14.0,16.0,4.0,,6.0,,23.0,0.0,0.0,,21.0,10.0,6.0,0.0,4.0,3.0,0.0,74.0,8.0,12.0,4.0,0.0,0.0,0.0,0.0,,0.0,16.0,0.0,230.0,14.0,0.0,17.0,0.0,3.0,63.0,0.0,9.0,,0.0,4.0,23.0,0.0,0.0,0.0,0.0,10.0,18.0,,4.0,0.0,0
Malta,51.0,0.0,0.0,,0.0,6.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,,,0.0,0.0,0.0,,0.0,,0.0,7.0,0.0,0.0,5.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,4.0,0.0,,0.0,0
Marshall Islands,38.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,3.0,,0.0,0.0,0.0,0
Mauritania,393.0,,0.0,5.0,,4.0,17.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,12.0,10.0,,0.0,20.0,5.0,0.0,8.0,4.0,4.0,0.0,,13.0,0.0,0.0,,0.0,,0.0,92.0,3.0,0.0,130.0,0.0,0.0,24.0,0.0,,0.0,0.0,13.0,4.0,0.0,0.0,,0.0,5.0,6.0,0.0,0.0,0.0,0
Mauritius,101.0,0.0,0.0,,,17.0,,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,19.0,,0.0,4.0,0.0,,4.0,0.0,0.0,,0.0,,8.0,0.0,0.0,,,8.0,0.0,0.0,0.0,,0
Mexico,143446.0,375.0,70.0,8347.0,946.0,49774.0,3372.0,263.0,158.0,53.0,3434.0,2763.0,,53.0,715.0,7334.0,1198.0,780.0,1348.0,382.0,337.0,10.0,450.0,202.0,1113.0,779.0,265.0,617.0,27.0,911.0,2444.0,42.0,861.0,1981.0,1784.0,1996.0,19.0,558.0,1251.0,1462.0,838.0,81.0,51.0,467.0,42.0,887.0,36648.0,,0.0,1422.0,3.0,802.0,2446.0,28.0,1146.0,107.0,0
"Micronesia, Federated States",9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
Moldova,2258.0,28.0,17.0,29.0,,469.0,43.0,9.0,3.0,,179.0,46.0,0.0,0.0,8.0,95.0,9.0,,3.0,3.0,14.0,6.0,42.0,125.0,14.0,52.0,9.0,16.0,6.0,4.0,23.0,,35.0,,203.0,103.0,0.0,27.0,7.0,62.0,75.0,,,14.0,,24.0,37.0,0.0,,4.0,3.0,56.0,326.0,,10.0,4.0,0
Monaco,6.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mongolia,774.0,0.0,3.0,,4.0,271.0,52.0,,0.0,0.0,7.0,,0.0,,,75.0,14.0,0.0,3.0,4.0,,0.0,13.0,11.0,5.0,4.0,0.0,7.0,0.0,0.0,10.0,0.0,11.0,,8.0,5.0,3.0,5.0,0.0,,13.0,0.0,0.0,,3.0,9.0,13.0,0.0,3.0,9.0,0.0,118.0,61.0,0.0,14.0,4.0,0
Montenegro,204.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,5.0,,0.0,0.0,0.0,15.0,,0.0,0.0,,,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,0.0,120.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0
Montserrat,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
Morocco,4399.0,21.0,,12.0,8.0,264.0,79.0,119.0,17.0,15.0,427.0,115.0,0.0,,8.0,161.0,27.0,9.0,11.0,23.0,24.0,6.0,78.0,578.0,40.0,26.0,15.0,21.0,3.0,3.0,23.0,9.0,259.0,6.0,586.0,152.0,,143.0,37.0,14.0,266.0,5.0,15.0,32.0,,23.0,217.0,0.0,0.0,8.0,,392.0,61.0,0.0,33.0,0.0,0
Mozambique,60.0,0.0,0.0,4.0,0.0,6.0,,,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,3.0,,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,,0.0,3.0,,0.0,0.0,0.0,0
Namibia,43.0,0.0,0.0,,,3.0,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0
Nauru,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nepal,10166.0,35.0,32.0,251.0,14.0,1102.0,452.0,144.0,,32.0,118.0,328.0,0.0,15.0,94.0,285.0,44.0,107.0,64.0,158.0,23.0,6.0,480.0,433.0,158.0,138.0,18.0,98.0,3.0,101.0,41.0,179.0,126.0,29.0,1147.0,174.0,75.0,241.0,26.0,86.0,479.0,0.0,27.0,20.0,50.0,132.0,1281.0,,5.0,129.0,65.0,729.0,295.0,12.0,70.0,10.0,0
Netherlands,1085.0,10.0,4.0,20.0,,177.0,32.0,29.0,,4.0,103.0,42.0,0.0,6.0,5.0,25.0,7.0,,6.0,10.0,7.0,,24.0,47.0,32.0,10.0,,11.0,4.0,6.0,9.0,,40.0,8.0,115.0,27.0,,12.0,5.0,9.0,25.0,5.0,3.0,13.0,4.0,9.0,84.0,0.0,0.0,5.0,,22.0,31.0,,24.0,,0
Netherlands Antilles,86.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,17.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,5.0,0.0,4.0,0.0,0.0,,,0.0,0.0,0.0,0
New Caledonia,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
New Zealand,803.0,5.0,,14.0,4.0,203.0,33.0,13.0,0.0,4.0,41.0,16.0,,10.0,5.0,31.0,9.0,5.0,9.0,4.0,,3.0,15.0,13.0,3.0,13.0,,7.0,,,9.0,6.0,8.0,,71.0,10.0,,7.0,4.0,24.0,16.0,0.0,6.0,10.0,6.0,11.0,52.0,0.0,3.0,29.0,0.0,20.0,33.0,,7.0,0.0,0
Nicaragua,3401.0,8.0,0.0,19.0,9.0,666.0,12.0,13.0,,7.0,1499.0,79.0,0.0,,,45.0,19.0,,9.0,7.0,48.0,3.0,86.0,18.0,17.0,11.0,6.0,13.0,0.0,5.0,57.0,0.0,79.0,12.0,134.0,66.0,0.0,13.0,5.0,6.0,18.0,14.0,6.0,9.0,,15.0,199.0,0.0,0.0,10.0,0.0,87.0,35.0,,28.0,0.0,0
Niger,96.0,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,,0.0,6.0,0.0,,,0.0,,0.0,,0.0,,0.0,,16.0,15.0,0.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,0.0,,0.0,0
Nigeria,11824.0,52.0,16.0,100.0,16.0,919.0,79.0,110.0,64.0,77.0,340.0,961.0,,,10.0,602.0,235.0,15.0,50.0,54.0,81.0,9.0,1402.0,342.0,191.0,235.0,14.0,134.0,5.0,18.0,40.0,32.0,705.0,6.0,1167.0,253.0,14.0,182.0,66.0,37.0,359.0,0.0,74.0,44.0,5.0,92.0,2254.0,,,19.0,3.0,203.0,65.0,6.0,60.0,,0
Niue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Northern Mariana Islands,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Norway,339.0,,0.0,3.0,0.0,62.0,8.0,5.0,0.0,,25.0,3.0,0.0,,0.0,14.0,,,,,,0.0,9.0,6.0,,11.0,0.0,6.0,,0.0,4.0,,11.0,0.0,38.0,6.0,7.0,5.0,,5.0,11.0,0.0,4.0,,,,43.0,0.0,0.0,5.0,0.0,10.0,11.0,0.0,5.0,0.0,0
Oman,60.0,0.0,0.0,0.0,0.0,10.0,,,0.0,0.0,5.0,,0.0,,0.0,0.0,0.0,3.0,0.0,,,0.0,3.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,6.0,0.0,6.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,,0.0,,0.0,0
Pakistan,15546.0,53.0,13.0,116.0,56.0,1811.0,53.0,273.0,53.0,19.0,545.0,404.0,0.0,26.0,,1038.0,121.0,22.0,86.0,34.0,99.0,9.0,622.0,317.0,339.0,68.0,15.0,132.0,,16.0,57.0,34.0,1172.0,19.0,3279.0,314.0,9.0,209.0,80.0,39.0,383.0,,38.0,37.0,10.0,75.0,2047.0,0.0,0.0,45.0,18.0,1015.0,184.0,20.0,115.0,,0
Palau,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
Panama,1374.0,20.0,7.0,12.0,9.0,125.0,15.0,8.0,0.0,,311.0,66.0,0.0,7.0,,26.0,5.0,4.0,9.0,9.0,22.0,0.0,35.0,23.0,5.0,7.0,18.0,11.0,,3.0,8.0,,37.0,,207.0,41.0,0.0,12.0,8.0,3.0,19.0,12.0,3.0,17.0,0.0,20.0,129.0,,,17.0,0.0,45.0,20.0,,6.0,3.0,0
Papua New Guinea,20.0,0.0,0.0,,0.0,5.0,,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Paraguay,500.0,,,4.0,0.0,37.0,10.0,7.0,,4.0,91.0,9.0,0.0,0.0,0.0,13.0,3.0,0.0,6.0,0.0,,0.0,23.0,7.0,4.0,3.0,,5.0,0.0,0.0,,,37.0,6.0,148.0,6.0,0.0,5.0,0.0,,,,0.0,,0.0,10.0,20.0,0.0,0.0,5.0,,19.0,0.0,0.0,3.0,0.0,0
Peru,14064.0,31.0,16.0,88.0,32.0,2027.0,140.0,395.0,19.0,27.0,3230.0,323.0,,12.0,45.0,185.0,60.0,8.0,43.0,35.0,30.0,6.0,431.0,204.0,53.0,53.0,21.0,54.0,4.0,21.0,131.0,14.0,2014.0,15.0,1512.0,288.0,3.0,95.0,55.0,61.0,165.0,61.0,33.0,50.0,3.0,59.0,616.0,,0.0,335.0,8.0,731.0,138.0,8.0,62.0,10.0,0
Philippines,57011.0,242.0,690.0,842.0,151.0,22797.0,337.0,300.0,126.0,59.0,2274.0,423.0,1027.0,4399.0,114.0,2260.0,350.0,127.0,166.0,148.0,232.0,72.0,1372.0,335.0,524.0,284.0,119.0,341.0,60.0,91.0,1950.0,74.0,2352.0,204.0,2527.0,587.0,42.0,525.0,196.0,363.0,584.0,8.0,61.0,236.0,56.0,257.0,2475.0,19.0,321.0,164.0,26.0,1385.0,2025.0,65.0,226.0,21.0,0
Poland,6863.0,7.0,6.0,43.0,,291.0,63.0,478.0,9.0,8.0,305.0,59.0,,7.0,5.0,2191.0,18.0,9.0,4.0,12.0,9.0,11.0,57.0,184.0,123.0,20.0,,23.0,4.0,6.0,36.0,10.0,866.0,9.0,1296.0,56.0,3.0,50.0,11.0,12.0,179.0,3.0,26.0,27.0,0.0,21.0,99.0,,,13.0,3.0,70.0,46.0,5.0,60.0,3.0,0
