,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
East Timor,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ecuador,6929.0,4.0,9.0,25.0,7.0,346.0,18.0,267.0,8.0,9.0,1185.0,82.0,0.0,6.0,0.0,292.0,15.0,10.0,18.0,13.0,10.0,0.0,95.0,95.0,7.0,75.0,3.0,26.0,4.0,7.0,32.0,5.0,1274.0,4.0,2168.0,152.0,0.0,29.0,13.0,9.0,143.0,13.0,12.0,39.0,0.0,19.0,143.0,9.0,,38.0,,96.0,20.0,0.0,20.0,0.0,53
Egypt,5848.0,19.0,,43.0,5.0,999.0,17.0,48.0,24.0,5.0,351.0,58.0,,,,137.0,56.0,4.0,4.0,14.0,31.0,4.0,68.0,239.0,100.0,62.0,0.0,21.0,0.0,3.0,20.0,21.0,1061.0,3.0,747.0,152.0,,98.0,22.0,29.0,251.0,0.0,18.0,52.0,,380.0,217.0,,0.0,3.0,,242.0,81.0,5.0,22.0,3.0,99
El Salvador,13834.0,18.0,13.0,124.0,117.0,5346.0,108.0,41.0,10.0,76.0,508.0,222.0,,4.0,15.0,120.0,56.0,42.0,62.0,12.0,28.0,9.0,847.0,460.0,20.0,75.0,10.0,36.0,0.0,55.0,315.0,5.0,369.0,15.0,1083.0,287.0,,45.0,27.0,56.0,57.0,11.0,30.0,46.0,11.0,71.0,1812.0,21.0,0.0,98.0,,589.0,128.0,3.0,22.0,4.0,290
Equatorial Guinea,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eritrea,985.0,,0.0,14.0,,203.0,35.0,3.0,4.0,20.0,11.0,36.0,0.0,0.0,0.0,24.0,10.0,,0.0,,4.0,,72.0,19.0,7.0,45.0,0.0,7.0,0.0,,35.0,0.0,4.0,0.0,27.0,28.0,0.0,32.0,4.0,14.0,13.0,0.0,0.0,4.0,7.0,10.0,87.0,0.0,,4.0,0.0,61.0,107.0,0.0,,0.0,21
Estonia,217.0,0.0,0.0,0.0,,34.0,8.0,,0.0,0.0,35.0,,0.0,0.0,,11.0,,0.0,0.0,,0.0,0.0,5.0,7.0,4.0,8.0,0.0,3.0,0.0,,,0.0,16.0,,18.0,4.0,0.0,6.0,,,7.0,0.0,,0.0,0.0,,3.0,,0.0,,0.0,7.0,21.0,0.0,,0.0,1
Ethiopia,8519.0,12.0,4.0,85.0,0.0,960.0,329.0,23.0,10.0,215.0,107.0,567.0,0.0,7.0,6.0,201.0,31.0,14.0,49.0,26.0,18.0,9.0,833.0,201.0,52.0,799.0,,89.0,0.0,27.0,368.0,0.0,65.0,4.0,169.0,137.0,,226.0,16.0,101.0,132.0,0.0,8.0,20.0,51.0,196.0,657.0,3.0,0.0,26.0,0.0,691.0,656.0,8.0,16.0,0.0,291
Fiji,1118.0,0.0,5.0,7.0,0.0,887.0,,,,0.0,,,0.0,16.0,,10.0,,0.0,4.0,,0.0,0.0,,8.0,,0.0,0.0,,,0.0,7.0,0.0,4.0,3.0,3.0,,0.0,,,24.0,,0.0,0.0,,0.0,0.0,17.0,3.0,,4.0,,7.0,80.0,0.0,0.0,0.0,1
Finland,344.0,,0.0,5.0,0.0,66.0,5.0,3.0,0.0,,58.0,19.0,0.0,,0.0,9.0,4.0,0.0,,,,3.0,6.0,15.0,3.0,,0.0,,0.0,,,,13.0,4.0,21.0,14.0,0.0,3.0,4.0,6.0,5.0,,0.0,,0.0,,29.0,,0.0,4.0,,4.0,11.0,0.0,,0.0,5
France,2527.0,9.0,3.0,42.0,4.0,576.0,32.0,29.0,7.0,10.0,330.0,55.0,,12.0,4.0,57.0,12.0,7.0,8.0,9.0,18.0,5.0,92.0,115.0,33.0,25.0,,8.0,8.0,,34.0,10.0,97.0,10.0,320.0,46.0,0.0,26.0,8.0,28.0,50.0,3.0,7.0,27.0,,19.0,142.0,3.0,7.0,6.0,3.0,44.0,63.0,4.0,26.0,,28
French Polynesia,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
Gabon,53.0,,0.0,0.0,0.0,4.0,,,,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,5.0,0.0,0.0,,0.0,,3.0,0.0,0.0,0.0,0.0,,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1
Gambia,505.0,,8.0,,,13.0,,,,0.0,5.0,46.0,0.0,,0.0,3.0,0.0,3.0,10.0,8.0,,,61.0,10.0,13.0,15.0,0.0,4.0,0.0,,,0.0,,0.0,78.0,37.0,0.0,20.0,,3.0,15.0,0.0,10.0,5.0,0.0,9.0,16.0,3.0,0.0,0.0,0.0,8.0,56.0,0.0,22.0,0.0,5
Georgia,1253.0,0.0,,6.0,0.0,308.0,13.0,7.0,0.0,,43.0,22.0,0.0,0.0,6.0,38.0,,0.0,0.0,4.0,3.0,0.0,25.0,20.0,5.0,4.0,,6.0,0.0,,13.0,,111.0,,383.0,7.0,0.0,27.0,,15.0,60.0,0.0,,,0.0,7.0,17.0,0.0,0.0,3.0,,11.0,60.0,0.0,3.0,0.0,9
Germany,4461.0,54.0,15.0,105.0,17.0,724.0,121.0,55.0,8.0,13.0,487.0,155.0,4.0,41.0,22.0,145.0,42.0,10.0,31.0,47.0,16.0,13.0,116.0,126.0,102.0,33.0,8.0,46.0,17.0,8.0,39.0,23.0,137.0,35.0,269.0,152.0,6.0,84.0,34.0,71.0,126.0,8.0,12.0,80.0,7.0,53.0,268.0,40.0,,30.0,13.0,130.0,151.0,9.0,45.0,,54
Ghana,4690.0,8.0,,34.0,7.0,131.0,73.0,95.0,36.0,5.0,80.0,261.0,,4.0,4.0,260.0,22.0,8.0,14.0,32.0,,,388.0,270.0,22.0,87.0,6.0,12.0,3.0,9.0,11.0,4.0,420.0,6.0,961.0,112.0,,283.0,51.0,7.0,142.0,0.0,26.0,34.0,,38.0,233.0,16.0,0.0,6.0,5.0,306.0,32.0,,16.0,,100
Gibraltar,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Greece,844.0,,0.0,13.0,0.0,118.0,6.0,24.0,4.0,,64.0,9.0,0.0,3.0,0.0,75.0,5.0,,,,3.0,0.0,25.0,67.0,24.0,5.0,,3.0,0.0,,10.0,13.0,35.0,,169.0,17.0,0.0,17.0,,,35.0,,4.0,12.0,0.0,6.0,26.0,,0.0,6.0,3.0,7.0,13.0,0.0,3.0,0.0,4
Grenada,528.0,,0.0,0.0,0.0,5.0,0.0,9.0,,5.0,47.0,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,,,0.0,,0.0,0.0,0.0,0.0,21.0,0.0,328.0,7.0,0.0,,,,7.0,0.0,0.0,6.0,0.0,5.0,16.0,,4.0,,,10.0,,0.0,0.0,0.0,2
Guatemala,7285.0,30.0,4.0,130.0,26.0,2878.0,75.0,81.0,5.0,9.0,552.0,131.0,0.0,9.0,12.0,271.0,47.0,27.0,25.0,22.0,26.0,6.0,158.0,347.0,18.0,41.0,3.0,27.0,3.0,63.0,128.0,8.0,309.0,18.0,401.0,81.0,,36.0,43.0,66.0,44.0,8.0,203.0,28.0,6.0,58.0,432.0,8.0,0.0,64.0,,133.0,72.0,,22.0,,86
Guinea,575.0,4.0,0.0,6.0,0.0,7.0,10.0,9.0,11.0,,9.0,54.0,0.0,0.0,0.0,9.0,12.0,0.0,,,0.0,0.0,50.0,23.0,13.0,21.0,,0.0,0.0,0.0,0.0,,21.0,0.0,156.0,12.0,0.0,35.0,,,43.0,0.0,6.0,3.0,0.0,14.0,7.0,,0.0,,,10.0,10.0,0.0,,0.0,5
Guinea-Bissau,29.0,0.0,0.0,3.0,0.0,4.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Guyana,5413.0,8.0,0.0,5.0,3.0,57.0,,114.0,11.0,7.0,630.0,152.0,0.0,3.0,0.0,24.0,3.0,3.0,4.0,3.0,9.0,0.0,144.0,43.0,11.0,88.0,5.0,9.0,0.0,,11.0,,417.0,0.0,3291.0,31.0,0.0,34.0,5.0,,77.0,,,20.0,0.0,11.0,78.0,12.0,3.0,0.0,,43.0,7.0,3.0,,0.0,23
Haiti,14191.0,14.0,4.0,17.0,,81.0,19.0,256.0,51.0,5.0,7980.0,322.0,0.0,6.0,4.0,86.0,21.0,,8.0,19.0,27.0,4.0,153.0,1365.0,17.0,12.0,,38.0,0.0,5.0,19.0,10.0,721.0,3.0,2057.0,52.0,,25.0,19.0,10.0,305.0,6.0,79.0,46.0,0.0,32.0,63.0,24.0,25.0,8.0,,67.0,20.0,3.0,,0.0,75
Honduras,3980.0,23.0,5.0,29.0,14.0,469.0,37.0,34.0,4.0,5.0,905.0,99.0,0.0,3.0,,74.0,29.0,11.0,14.0,11.0,211.0,0.0,98.0,128.0,9.0,23.0,5.0,13.0,0.0,17.0,38.0,7.0,244.0,4.0,442.0,119.0,,28.0,25.0,14.0,47.0,8.0,8.0,35.0,,32.0,420.0,8.0,0.0,22.0,0.0,94.0,26.0,,22.0,,58
Hong Kong,2184.0,8.0,,36.0,3.0,910.0,14.0,14.0,3.0,,65.0,32.0,4.0,39.0,,51.0,6.0,,7.0,9.0,7.0,,27.0,103.0,16.0,12.0,,8.0,0.0,0.0,26.0,4.0,54.0,,328.0,15.0,0.0,16.0,6.0,14.0,27.0,,3.0,15.0,,6.0,124.0,0.0,0.0,6.0,,15.0,109.0,,11.0,0.0,15
Hungary,953.0,6.0,,24.0,,155.0,21.0,24.0,,,209.0,10.0,0.0,,,26.0,3.0,0.0,0.0,4.0,0.0,0.0,11.0,25.0,12.0,5.0,,4.0,0.0,,18.0,,63.0,3.0,109.0,17.0,,30.0,5.0,7.0,29.0,0.0,,5.0,0.0,4.0,39.0,,0.0,4.0,0.0,23.0,20.0,0.0,9.0,0.0,8
Iceland,76.0,0.0,0.0,0.0,0.0,8.0,,,,0.0,15.0,,0.0,,,4.0,,0.0,0.0,0.0,,0.0,,6.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,5.0,5.0,0.0,,0.0,3
India,45985.0,259.0,13.0,550.0,121.0,9549.0,260.0,712.0,175.0,30.0,1834.0,1898.0,0.0,19.0,19.0,3074.0,508.0,95.0,232.0,266.0,134.0,34.0,1005.0,1434.0,1086.0,420.0,109.0,347.0,6.0,85.0,214.0,154.0,4929.0,81.0,3326.0,1053.0,12.0,1038.0,184.0,283.0,1971.0,,68.0,326.0,17.0,517.0,4216.0,,9.0,64.0,27.0,1193.0,1118.0,30.0,391.0,8.0,475
Indonesia,2345.0,9.0,,25.0,3.0,942.0,52.0,10.0,,,56.0,94.0,0.0,14.0,,49.0,7.0,9.0,11.0,12.0,7.0,4.0,32.0,26.0,6.0,9.0,0.0,7.0,0.0,6.0,33.0,51.0,66.0,,229.0,35.0,0.0,30.0,11.0,23.0,164.0,0.0,3.0,13.0,0.0,11.0,138.0,4.0,0.0,9.0,0.0,42.0,56.0,,15.0,,12
Iran,9286.0,24.0,3.0,165.0,8.0,5191.0,85.0,36.0,6.0,4.0,231.0,182.0,,4.0,5.0,214.0,22.0,14.0,31.0,18.0,15.0,9.0,283.0,124.0,60.0,40.0,7.0,47.0,,12.0,99.0,8.0,130.0,9.0,298.0,92.0,5.0,73.0,51.0,74.0,83.0,,6.0,27.0,,83.0,647.0,0.0,0.0,68.0,,334.0,191.0,7.0,30.0,0.0,123
Iraq,3360.0,11.0,0.0,158.0,0.0,609.0,27.0,10.0,,,55.0,36.0,0.0,3.0,5.0,190.0,10.0,6.0,,17.0,7.0,5.0,20.0,21.0,1269.0,31.0,,40.0,0.0,37.0,18.0,5.0,21.0,12.0,61.0,19.0,0.0,31.0,14.0,22.0,43.0,,3.0,25.0,3.0,183.0,131.0,,0.0,28.0,0.0,80.0,40.0,,4.0,0.0,41
Ireland,1171.0,,,24.0,,188.0,14.0,27.0,3.0,8.0,68.0,20.0,0.0,0.0,,62.0,5.0,3.0,,6.0,,5.0,18.0,144.0,9.0,6.0,0.0,5.0,,3.0,3.0,17.0,57.0,,230.0,22.0,0.0,21.0,3.0,13.0,35.0,0.0,7.0,8.0,0.0,5.0,40.0,,,4.0,,17.0,37.0,,10.0,0.0,6
Israel,3153.0,9.0,,37.0,5.0,733.0,24.0,10.0,5.0,4.0,416.0,74.0,0.0,7.0,0.0,116.0,13.0,3.0,10.0,10.0,5.0,3.0,43.0,102.0,35.0,16.0,,20.0,,,58.0,12.0,198.0,,671.0,36.0,0.0,58.0,,9.0,76.0,4.0,5.0,13.0,0.0,22.0,143.0,,4.0,4.0,,31.0,48.0,,21.0,0.0,27
Italy,2231.0,15.0,,23.0,,326.0,28.0,53.0,7.0,7.0,270.0,46.0,3.0,10.0,,68.0,12.0,7.0,,9.0,7.0,3.0,45.0,123.0,51.0,9.0,,8.0,,,24.0,7.0,178.0,7.0,387.0,59.0,0.0,33.0,5.0,15.0,115.0,5.0,15.0,15.0,0.0,10.0,63.0,17.0,0.0,12.0,,39.0,45.0,,15.0,0.0,22
Jamaica,14591.0,14.0,3.0,42.0,7.0,247.0,24.0,635.0,69.0,23.0,4532.0,804.0,,9.0,,172.0,24.0,10.0,10.0,27.0,17.0,12.0,468.0,422.0,63.0,31.0,16.0,35.0,,,22.0,7.0,850.0,8.0,4382.0,155.0,,87.0,51.0,11.0,437.0,5.0,19.0,139.0,0.0,34.0,230.0,50.0,8.0,5.0,,187.0,39.0,8.0,35.0,,95
Japan,1744.0,7.0,3.0,29.0,3.0,619.0,27.0,15.0,0.0,4.0,67.0,22.0,11.0,156.0,3.0,50.0,4.0,,3.0,7.0,,,23.0,40.0,16.0,7.0,,12.0,,4.0,30.0,7.0,54.0,7.0,170.0,24.0,,14.0,5.0,21.0,21.0,0.0,0.0,13.0,,6.0,63.0,12.0,,13.0,,30.0,85.0,3.0,7.0,,15
Jordan,2345.0,18.0,,26.0,9.0,389.0,7.0,17.0,5.0,,154.0,33.0,0.0,0.0,,356.0,15.0,5.0,16.0,26.0,50.0,,19.0,38.0,97.0,25.0,14.0,23.0,0.0,,3.0,,116.0,6.0,146.0,62.0,4.0,114.0,11.0,9.0,67.0,7.0,3.0,13.0,0.0,45.0,217.0,0.0,4.0,4.0,0.0,56.0,28.0,4.0,28.0,0.0,47
Kazakhstan,891.0,7.0,,11.0,,169.0,9.0,,0.0,,67.0,18.0,,,7.0,21.0,3.0,5.0,,4.0,,3.0,19.0,30.0,5.0,21.0,,3.0,0.0,,8.0,,21.0,,148.0,14.0,,16.0,5.0,28.0,30.0,0.0,0.0,18.0,0.0,8.0,32.0,,0.0,,,21.0,105.0,0.0,3.0,,8
Kenya,3621.0,81.0,,77.0,4.0,350.0,34.0,17.0,73.0,6.0,103.0,237.0,0.0,4.0,5.0,66.0,47.0,26.0,92.0,13.0,6.0,11.0,189.0,257.0,35.0,235.0,5.0,75.0,,12.0,22.0,27.0,147.0,7.0,60.0,130.0,,66.0,43.0,23.0,140.0,0.0,5.0,51.0,0.0,36.0,499.0,10.0,0.0,10.0,,93.0,134.0,,20.0,,26
Kiribati,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
"Korea, North",13.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Korea, South",12664.0,76.0,38.0,121.0,12.0,3854.0,155.0,63.0,32.0,7.0,258.0,594.0,39.0,189.0,13.0,570.0,56.0,23.0,52.0,40.0,23.0,5.0,460.0,201.0,164.0,61.0,10.0,66.0,5.0,14.0,129.0,9.0,978.0,21.0,1258.0,193.0,,110.0,66.0,102.0,390.0,0.0,7.0,90.0,,84.0,625.0,55.0,8.0,37.0,3.0,566.0,501.0,3.0,45.0,7.0,171
Kosovo,465.0,0.0,0.0,12.0,0.0,10.0,,19.0,,0.0,21.0,10.0,0.0,,,28.0,0.0,5.0,0.0,8.0,0.0,0.0,,9.0,18.0,,,10.0,0.0,0.0,,7.0,25.0,,175.0,,0.0,4.0,,,12.0,0.0,,0.0,0.0,13.0,36.0,,0.0,3.0,0.0,4.0,5.0,0.0,10.0,0.0,1
Kuwait,869.0,3.0,0.0,18.0,,130.0,10.0,11.0,,,64.0,23.0,0.0,,,61.0,10.0,0.0,11.0,4.0,11.0,0.0,18.0,19.0,44.0,7.0,,11.0,0.0,4.0,,0.0,42.0,,52.0,28.0,,51.0,6.0,,9.0,0.0,6.0,4.0,,28.0,97.0,0.0,,5.0,,21.0,14.0,,13.0,0.0,16
Kyrgyzstan,440.0,,3.0,10.0,0.0,64.0,6.0,,0.0,0.0,20.0,,0.0,,,11.0,8.0,0.0,,,,0.0,12.0,19.0,5.0,12.0,,4.0,0.0,,,4.0,12.0,,65.0,7.0,,11.0,,17.0,16.0,0.0,0.0,4.0,0.0,,16.0,5.0,0.0,,0.0,19.0,56.0,0.0,,0.0,6
Laos,5452.0,22.0,59.0,13.0,40.0,2773.0,39.0,18.0,0.0,0.0,51.0,67.0,0.0,9.0,7.0,25.0,4.0,32.0,54.0,3.0,7.0,,6.0,36.0,46.0,955.0,3.0,15.0,,3.0,15.0,4.0,4.0,,39.0,108.0,,27.0,25.0,30.0,29.0,0.0,26.0,15.0,3.0,49.0,102.0,4.0,0.0,27.0,0.0,20.0,106.0,,491.0,0.0,35
Latvia,401.0,,,6.0,0.0,59.0,5.0,7.0,3.0,0.0,28.0,11.0,0.0,,0.0,37.0,0.0,4.0,,,,0.0,13.0,14.0,3.0,8.0,3.0,7.0,0.0,,4.0,,20.0,0.0,67.0,12.0,0.0,10.0,,,11.0,0.0,,3.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,7.0,12.0,,14.0,0.0,6
Lebanon,3127.0,20.0,0.0,41.0,3.0,585.0,14.0,29.0,8.0,0.0,243.0,59.0,0.0,5.0,0.0,68.0,12.0,,17.0,14.0,12.0,7.0,23.0,291.0,537.0,17.0,,16.0,,4.0,36.0,18.0,95.0,,182.0,39.0,0.0,128.0,21.0,15.0,55.0,5.0,25.0,20.0,3.0,22.0,251.0,0.0,0.0,4.0,,92.0,24.0,4.0,11.0,0.0,45
Lesotho,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1
Liberia,3794.0,12.0,0.0,73.0,,110.0,27.0,28.0,39.0,,57.0,145.0,0.0,3.0,0.0,63.0,38.0,37.0,11.0,28.0,8.0,0.0,259.0,163.0,53.0,533.0,3.0,45.0,,8.0,15.0,19.0,266.0,0.0,251.0,145.0,16.0,97.0,19.0,16.0,585.0,0.0,162.0,14.0,23.0,33.0,181.0,9.0,,25.0,0.0,70.0,31.0,3.0,20.0,0.0,45
Libya,180.0,4.0,0.0,,0.0,22.0,3.0,,0.0,0.0,15.0,7.0,0.0,0.0,0.0,5.0,,0.0,4.0,,,0.0,5.0,,7.0,,0.0,3.0,0.0,3.0,5.0,0.0,8.0,0.0,14.0,,,7.0,0.0,5.0,6.0,0.0,,,,,15.0,0.0,0.0,0.0,,9.0,8.0,0.0,,0.0,5
Liechtenstein,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lithuania,973.0,0.0,0.0,3.0,0.0,79.0,14.0,10.0,,0.0,90.0,17.0,0.0,,0.0,401.0,5.0,,,0.0,,0.0,11.0,33.0,13.0,10.0,,,,,11.0,3.0,58.0,3.0,75.0,7.0,0.0,15.0,,3.0,26.0,,,6.0,0.0,6.0,16.0,,0.0,3.0,0.0,8.0,13.0,0.0,7.0,,5
Luxembourg,18.0,0.0,0.0,,,3.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1
Macau,86.0,0.0,0.0,3.0,0.0,51.0,0.0,,0.0,0.0,,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0
Macedonia,578.0,,18.0,9.0,,16.0,4.0,35.0,0.0,0.0,34.0,3.0,0.0,0.0,,65.0,33.0,0.0,,3.0,,,,5.0,45.0,0.0,0.0,4.0,0.0,0.0,8.0,,99.0,,98.0,4.0,0.0,27.0,0.0,,6.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,,,6.0,,,16.0,0.0,7
Madagascar,44.0,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,3.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,5.0,,0.0,0.0,0.0,1
Malawi,86.0,,0.0,0.0,3.0,12.0,,,0.0,0.0,,3.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,,3.0,0.0,,0.0,,0.0,0.0,,0.0,3.0,,0.0,,0.0,0.0,6.0,0.0,0.0,,0.0,,8.0,,0.0,0.0,0.0,9.0,,0.0,,0.0,1
Malaysia,1137.0,3.0,0.0,13.0,7.0,266.0,17.0,12.0,,,42.0,38.0,,8.0,,42.0,5.0,4.0,11.0,3.0,10.0,0.0,17.0,21.0,13.0,13.0,5.0,12.0,0.0,4.0,14.0,3.0,44.0,,180.0,18.0,,17.0,21.0,14.0,22.0,0.0,,11.0,0.0,11.0,110.0,0.0,0.0,3.0,,25.0,40.0,,11.0,0.0,14
Maldives,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mali,274.0,0.0,0.0,,0.0,8.0,11.0,0.0,0.0,0.0,6.0,23.0,0.0,,0.0,5.0,5.0,0.0,,0.0,0.0,,30.0,,0.0,3.0,0.0,,0.0,,0.0,0.0,6.0,,74.0,6.0,0.0,10.0,,,40.0,0.0,4.0,,0.0,,11.0,,0.0,,0.0,10.0,,0.0,,0.0,1
Malta,54.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,3.0,4.0,4.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,17.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1
Marshall Islands,32.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,2
Mauritania,405.0,,0.0,,0.0,4.0,27.0,0.0,3.0,0.0,3.0,11.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,21.0,7.0,,8.0,8.0,6.0,0.0,,3.0,0.0,0.0,0.0,0.0,,0.0,103.0,,0.0,104.0,,0.0,20.0,0.0,3.0,,0.0,22.0,6.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,,0.0,3
