,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,660477.0,1343.0,849.0,12091.0,1214.0,181684.0,7829.0,4552.0,1094.0,1334.0,54563.0,14181.0,4521.0,1261.0,38735.0,3652.0,2093.0,2406.0,2256.0,2240.0,728.0,11613.0,20952.0,10678.0,9124.0,657.0,4237.0,251.0,2188.0,8363.0,1821.0,35235.0,1704.0,73676.0,6606.0,415.0,9250.0,1812.0,5572.0,11371.0,2088.0,1499.0,460.0,2927.0,53032.0,,3216.0,2777.0,468.0,14171.0,14671.0,310.0,4485.0,,6030
Africa,41652.0,122.0,31.0,567.0,52.0,3855.0,784.0,268.0,149.0,375.0,1277.0,2191.0,49.0,28.0,1534.0,345.0,179.0,181.0,221.0,129.0,180.0,2332.0,2677.0,605.0,3382.0,50.0,466.0,3.0,285.0,340.0,134.0,2222.0,32.0,3713.0,781.0,95.0,1758.0,145.0,273.0,1197.0,376.0,122.0,128.0,585.0,3445.0,0.0,23.0,139.0,40.0,1934.0,1078.0,29.0,255.0,6.0,485
Asia,238797.0,617.0,419.0,2733.0,375.0,81705.0,2245.0,1458.0,493.0,249.0,6134.0,5213.0,3683.0,255.0,12833.0,1377.0,586.0,963.0,768.0,1098.0,232.0,4798.0,6529.0,5905.0,3322.0,345.0,1586.0,76.0,665.0,2791.0,649.0,13873.0,339.0,21361.0,2597.0,95.0,3820.0,720.0,2305.0,5160.0,383.0,574.0,97.0,1205.0,17009.0,,1109.0,622.0,136.0,6825.0,6354.0,157.0,1806.0,,2101
Europe,86742.0,179.0,165.0,1516.0,94.0,13265.0,1420.0,1186.0,113.0,201.0,5007.0,1818.0,232.0,329.0,10128.0,662.0,571.0,187.0,622.0,213.0,171.0,1181.0,3956.0,2687.0,1192.0,74.0,1348.0,73.0,212.0,795.0,461.0,5105.0,176.0,12163.0,945.0,147.0,2224.0,148.0,1289.0,2427.0,369.0,311.0,143.0,437.0,2972.0,0.0,89.0,477.0,198.0,1492.0,3724.0,54.0,991.0,39.0,764
North America,241163.0,326.0,164.0,6831.0,631.0,76195.0,2959.0,1048.0,267.0,360.0,31585.0,3957.0,278.0,593.0,12977.0,1094.0,699.0,956.0,499.0,661.0,122.0,2399.0,6013.0,1230.0,865.0,140.0,674.0,76.0,952.0,4039.0,380.0,8187.0,1066.0,25464.0,1756.0,68.0,1050.0,703.0,1443.0,1979.0,757.0,305.0,78.0,551.0,27018.0,0.0,1742.0,1094.0,70.0,2414.0,2997.0,42.0,1229.0,85.0,2095
Oceania,3342.0,5.0,33.0,63.0,8.0,1565.0,50.0,14.0,,14.0,86.0,35.0,183.0,10.0,51.0,11.0,8.0,14.0,11.0,15.0,5.0,28.0,45.0,15.0,25.0,4.0,16.0,10.0,,35.0,12.0,44.0,12.0,118.0,34.0,0.0,20.0,6.0,87.0,33.0,4.0,8.0,,9.0,119.0,0.0,20.0,97.0,6.0,63.0,209.0,3.0,21.0,,50
South America,48133.0,94.0,37.0,377.0,51.0,5041.0,366.0,577.0,,135.0,10413.0,940.0,96.0,46.0,1128.0,159.0,50.0,104.0,125.0,116.0,18.0,867.0,1730.0,216.0,331.0,41.0,145.0,13.0,71.0,361.0,185.0,5789.0,74.0,10838.0,486.0,10.0,353.0,86.0,175.0,570.0,199.0,172.0,,133.0,2293.0,,227.0,347.0,18.0,1437.0,306.0,25.0,177.0,11.0,489
Afghanistan,2013.0,0.0,0.0,68.0,0.0,785.0,39.0,4.0,9.0,,52.0,44.0,0.0,17.0,48.0,14.0,6.0,7.0,4.0,5.0,7.0,28.0,31.0,25.0,13.0,5.0,60.0,0.0,19.0,25.0,3.0,56.0,17.0,141.0,7.0,,13.0,,6.0,27.0,,,6.0,6.0,88.0,0.0,0.0,15.0,,240.0,41.0,0.0,,0.0,23
Albania,2786.0,0.0,0.0,20.0,,40.0,6.0,143.0,0.0,7.0,229.0,13.0,0.0,6.0,207.0,13.0,0.0,4.0,,,8.0,22.0,378.0,425.0,6.0,,49.0,0.0,6.0,22.0,17.0,127.0,0.0,501.0,10.0,0.0,131.0,4.0,5.0,195.0,3.0,6.0,0.0,6.0,28.0,0.0,0.0,,,32.0,13.0,0.0,65.0,0.0,31
Algeria,578.0,,,5.0,,96.0,8.0,4.0,0.0,3.0,26.0,10.0,,0.0,44.0,7.0,0.0,6.0,,,0.0,10.0,56.0,12.0,8.0,0.0,,0.0,,7.0,6.0,36.0,,84.0,11.0,0.0,15.0,0.0,4.0,13.0,,0.0,0.0,3.0,42.0,0.0,0.0,0.0,,20.0,11.0,0.0,12.0,0.0,7
